City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
309,Machinga,MW,-15.1685,35.3,79.3,48,31,4.97,scattered clouds
310,Balkanabat,TM,39.5108,54.3671,65.5,46,42,7.99,scattered clouds
311,Arraial Do Cabo,BR,-22.9661,-42.0278,73.45,94,100,13.8,overcast clouds
312,Saint-Philippe,RE,-21.3585,55.7679,78.39,80,40,11.83,scattered clouds
313,Bilma,NE,18.6853,12.9164,66.97,28,0,8.61,clear sky
314,Mogadishu,SO,2.0371,45.3438,80.02,77,26,10.56,scattered clouds
315,Shakiso,ET,5.75,38.9167,63.32,74,4,3.44,clear sky
316,Erzurum,TR,40.0,41.5,40.68,78,8,7.02,clear sky
317,Uvira,CD,-3.4067,29.1458,77.18,69,59,1.36,light rain
318,Cabangahan,PH,9.0781,122.9469,91.18,72,56,4.21,broken clouds
319,Nishihara,JP,26.1842,127.7558,72.68,88,100,18.41,light rain
320,Clyde River,CA,70.4692,-68.5914,3.43,60,0,5.75,clear sky
321,Mana,GF,5.6592,-53.7767,78.06,89,73,10.74,broken clouds
322,Quatre Cocos,MU,-20.2078,57.7625,78.91,67,46,12.12,scattered clouds
323,Lulea,SE,65.5842,22.1547,30.27,100,0,4.61,clear sky
324,Karaton,ID,-6.3424,106.1045,87.19,57,100,3.18,overcast clouds
325,Pangnirtung,CA,66.1451,-65.7125,5.47,72,2,5.95,clear sky
326,Rudbar,AF,30.15,62.6,80.47,19,17,3.91,few clouds
327,Malumfashi,NG,11.7853,7.6218,66.34,30,87,8.3,overcast clouds
328,Marzuq,YE,14.4,46.4667,70.7,44,5,2.62,clear sky
329,Villazon,BO,-22.0866,-65.5942,28.51,77,8,6.89,clear sky
330,Mishelevka,RU,52.8575,103.1719,28.65,56,25,2.46,scattered clouds
331,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,80,98,5.86,overcast clouds
332,Taoudenni,ML,22.6783,-3.9836,73.96,14,53,10.42,broken clouds
333,Airai,TL,-8.9266,125.4092,73.08,70,100,2.04,overcast clouds
334,Kabompo,ZM,-13.5927,24.2008,65.21,91,100,1.88,overcast clouds
335,Noumea,NC,-22.2763,166.4572,87.78,70,25,1.7,scattered clouds
336,Hare Bay,CA,48.8499,-54.0148,38.55,73,57,8.46,broken clouds
337,Bubaque,GW,11.2833,-15.8333,82.58,73,21,6.71,few clouds
338,Lubartow,PL,51.4603,22.6095,46.89,91,66,7.16,broken clouds
339,Radford,US,37.1318,-80.5764,58.12,94,100,1.01,mist
340,Sabzevar,IR,36.2126,57.6819,61.88,55,75,13.8,light intensity shower rain
341,Sindor,RU,62.8629,51.8905,29.17,90,80,5.48,broken clouds
342,Amapala,HN,13.2922,-87.6539,76.26,82,11,3.33,few clouds
343,Pangai,TO,-19.8,-174.35,78.91,89,75,2.3,broken clouds
344,Poum,NC,-20.2333,164.0167,78.75,75,1,13.94,clear sky
345,Harlingen,US,26.1906,-97.6961,73.94,99,100,11.5,overcast clouds
346,Lahan,NP,26.7296,86.4951,81.88,51,0,3.58,clear sky
